id,age,educ,turnout,female,interest
766,31,14,53.2,1,4
767,47,19,75.7,1,1
768,66,11,77.7,1,3
769,41,11,64.7,1,4
770,34,9,59.5,0,3
771,57,11,73.2,0,3
772,35,16,40.5,0,3
773,35,13,56.0,1,2
774,40,15,65.0,1,3
775,31,18,68.9,0,3
776,82,19,69.5,1,3
777,35,15,76.4,1,2
778,37,14,55.8,1,2
779,61,16,54.4,0,3
780,56,14,69.4,0,3
781,60,11,77.1,1,2
782,63,15,68.5,1,3
783,36,17,69.1,1,3
784,54,16,61.2,0,2
785,46,12,96.3,0,5
786,25,14,62.3,0,3
787,49,12,55.7,1,4
788,32,13,54.4,0,2
789,63,14,84.4,0,5
790,55,12,75.7,1,3
791,48,13,72.2,0,3
792,38,16,29.4,1,3
793,49,13,66.5,1,4
794,51,15,60.9,1,3
795,62,16,80.1,0,4
796,18,10,51.6,1,3
797,60,12,61.4,1,4
798,45,16,59.3,0,2
799,37,16,65.3,0,2
800,59,13,60.1,1,2
